Para el año 2023 la tabla de Impuesto a la Renta es la siguiente:,,,,,
-------------------------------------------------------------------------------------------------------------------,,,,,
AÑO 2023 - En Dolares,,,,,
Fraccion Basica,Exceso hasta,Impuesto Fraccion Basica,% Impuesto Fraccion Excedente,,
$ 0.00,$ 11.722,$ 0,0%,,
$ 11.722,$ 14.930,$ 0,5%,,
$ 14.930,$ 19.385,$ 160,10%,,
$ 19.385,$ 25.638,$ 606,12%,,
$ 25.638,$ 33.738,$ 1.356,15%,,
$ 33.738,$ 44.721,$ 2.571,20%,,
$ 44.721,$ 59.537,$ 4.768,25%,,
$ 59.537,$ 79.388,$ 8.472,30%,,
$ 79.388,$ 105.580,$ 14.427,35%,,
$ 105.580,en adelante,$ 23.594,37%,,
